Subject ID: 03_12
Date and time: 09/09/2013 13:04:36

Block	Trial	Hand	Cube	Vis	Pulse	RT	Time
1	1	left	2	visible	1	626	13:04:58
1	2	left	1	visible	2	464	13:05:13
1	3	left	1	visible	3	513	13:05:23
1	4	left	4	visible	4	544	13:05:33
1	5	left	2	visible	5	534	13:05:42
1	6	left	4	visible	6	564	13:05:50
1	7	left	1	visible	7	572	13:05:58
1	8	left	2	visible	8	460	13:06:08
1	9	left	2	visible	9	452	13:06:15
1	10	left	2	visible	10	400	13:06:22
1	11	left	4	visible	11	443	13:06:30
1	12	left	4	visible	12	487	13:06:38
1	13	left	2	visible	13	474	13:06:46
1	14	left	4	visible	14	435	13:06:55
1	15	left	1	visible	15	442	13:07:02
1	16	left	1	visible	16	534	13:07:11
1	17	left	1	visible	17	452	13:07:21
1	18	left	2	visible	18	555	13:07:31
1	19	left	4	visible	19	498	13:07:40
1	20	left	1	visible	20	429	13:07:47
1	21	left	1	visible	21	423	13:07:55
1	22	left	2	visible	22	521	13:08:03
1	23	left	4	visible	23	405	13:08:12
1	24	left	4	visible	24	423	13:08:19
2	1	left	2	hidden	25	655	13:09:50
2	2	left	4	hidden	26	655	13:10:06
2	3	left	2	hidden	27	872	13:10:25
2	4	left	2	hidden	28	578	13:10:37
2	5	left	2	hidden	29	504	13:10:49
2	6	left	2	hidden	30	561	13:11:00
2	7	left	4	hidden	31	976	13:11:12
2	8	left	4	hidden	32	708	13:11:23
2	9	left	2	hidden	33	595	13:11:37
2	10	left	4	hidden	34	698	13:11:50
2	11	left	4	hidden	35	1015	13:12:02
2	12	left	1	hidden	36	590	13:12:27
2	13	left	1	hidden	37	757	13:12:39
2	14	left	1	hidden	38	670	13:12:52
2	15	left	2	hidden	39	1234	13:13:05
2	16	left	2	hidden	40	593	13:13:17
2	17	left	4	hidden	41	1620	13:13:29
2	18	left	1	hidden	42	Lifted wrong hand (movement )
2	18	left	1	hidden	Lifted hand (load)
2	18	left	1	hidden	Lifted hand (load)
2	18	left	1	hidden	Lifted hand (load)
2	18	left	1	hidden	Lifted hand (load)
2	18	left	1	hidden	43	1292	13:14:19
2	19	left	4	hidden	Lifted hand (load)
2	19	left	4	hidden	Lifted hand (load)
2	19	left	4	hidden	44	1742	13:14:45
2	20	left	1	hidden	45	757	13:14:58
2	21	left	1	hidden	46	673	13:15:11
2	22	left	4	hidden	47	1275	13:15:23
2	23	left	1	hidden	48	869	13:15:36
2	24	left	1	hidden	49	911	13:15:48
3	1	right	2	hidden	Lifted hand (load)
3	1	right	2	hidden	Lifted hand (load)
3	1	right	2	hidden	Lifted hand (load)
3	1	right	2	hidden	Lifted hand (load)
3	1	right	2	hidden	50	1036	13:26:16
3	2	right	1	hidden	51	674	13:27:08
3	3	right	4	hidden	52	1581	13:27:38
3	4	right	4	hidden	53	561	13:27:51
3	5	right	4	hidden	54	503	13:28:00
3	6	right	4	hidden	55	573	13:28:25
3	7	right	1	hidden	56	612	13:29:04
3	8	right	1	hidden	57	547	13:29:17
3	9	right	4	hidden	58	585	13:29:28
3	10	right	4	hidden	59	516	13:29:37
3	11	right	2	hidden	60	434	13:29:47
3	12	right	2	hidden	61	455	13:29:56
3	13	right	2	hidden	62	467	13:30:06
3	14	right	2	hidden	63	499	13:30:17
3	15	right	1	hidden	64	506	13:30:27
3	16	right	4	hidden	65	531	13:30:39
3	17	right	4	hidden	66	627	13:30:48
3	18	right	2	hidden	67	474	13:30:58
3	19	right	2	hidden	68	540	13:31:07
3	20	right	1	hidden	69	528	13:31:17
3	21	right	1	hidden	70	448	13:31:26
3	22	right	1	hidden	71	Lifted wrong hand (movement )
3	22	right	1	hidden	72	487	13:31:46
3	23	right	1	hidden	73	516	13:31:57
3	24	right	2	hidden	74	435	13:32:06
4	1	right	1	visible	75	649	13:32:50
4	2	right	2	visible	76	530	13:32:57
4	3	right	1	visible	77	452	13:33:05
4	4	right	1	visible	78	524	13:33:13
4	5	right	4	visible	79	421	13:33:22
4	6	right	1	visible	80	454	13:33:58
4	7	right	4	visible	81	570	13:34:04
4	8	right	2	visible	82	536	13:34:10
4	9	right	4	visible	83	429	13:34:16
4	10	right	4	visible	84	414	13:34:23
4	11	right	2	visible	85	442	13:34:30
4	12	right	2	visible	86	412	13:34:36
4	13	right	4	visible	87	407	13:34:42
4	14	right	1	visible	88	476	13:34:49
4	15	right	2	visible	89	393	13:34:55
4	16	right	2	visible	90	499	13:35:01
4	17	right	2	visible	91	500	13:35:08
4	18	right	4	visible	92	430	13:35:14
4	19	right	4	visible	93	413	13:35:20
4	20	right	1	visible	94	384	13:35:26
4	21	right	4	visible	95	385	13:35:33
4	22	right	2	visible	96	535	13:35:43
4	23	right	1	visible	97	457	13:35:50
4	24	right	1	visible	98	490	13:35:56
