Subject ID: 03_22
Date and time: 12/17/2013 11:49:51

Block	Trial	Hand	Cube	Vis	Pulse	RT	Time
1	1	right	2	hidden	1	2673	11:53:26
1	2	right	4	hidden	2	1372	11:53:46
1	3	right	4	hidden	3	940	11:54:03
1	4	right	1	hidden	4	850	11:54:18
1	5	right	1	hidden	5	1370	11:54:33
1	6	right	1	hidden	6	822	11:54:47
1	7	right	1	hidden	7	796	11:55:00
1	8	right	4	hidden	8	2445	11:55:16
1	9	right	4	hidden	9	1392	11:55:29
1	10	right	2	hidden	10	764	11:55:41
1	11	right	1	hidden	11	1309	11:55:55
1	12	right	2	hidden	12	901	11:56:07
1	13	right	4	hidden	13	1289	11:56:23
1	14	right	4	hidden	14	1149	11:56:35
1	15	right	4	hidden	15	885	11:56:47
1	16	right	1	hidden	16	991	11:56:58
1	17	right	1	hidden	17	947	11:57:11
1	18	right	4	hidden	18	934	11:57:23
1	19	right	2	hidden	19	1092	11:57:35
1	20	right	2	hidden	20	1025	11:57:46
1	21	right	1	hidden	21	738	11:57:57
1	22	right	2	hidden	22	702	11:58:08
1	23	right	2	hidden	23	1271	11:58:21
1	24	right	2	hidden	24	538	11:58:32
2	1	right	1	visible	25	542	11:59:35
2	2	right	1	visible	26	699	11:59:46
2	3	right	4	visible	27	701	11:59:58
2	4	right	1	visible	28	948	12:00:09
2	5	right	1	visible	29	570	12:00:19
2	6	right	2	visible	30	647	12:00:30
2	7	right	4	visible	31	1502	12:00:41
2	8	right	2	visible	32	886	12:00:52
2	9	right	4	visible	33	770	12:01:03
2	10	right	4	visible	34	849	12:01:14
2	11	right	4	visible	35	739	12:01:24
2	12	right	2	visible	36	703	12:01:34
2	13	right	2	visible	37	751	12:01:44
2	14	right	2	visible	38	665	12:01:53
2	15	right	2	visible	39	885	12:02:03
2	16	right	1	visible	40	741	12:02:13
2	17	right	4	visible	41	783	12:02:22
2	18	right	2	visible	42	871	12:02:32
2	19	right	1	visible	43	732	12:02:41
2	20	right	4	visible	44	786	12:02:51
2	21	right	1	visible	45	723	12:03:01
2	22	right	2	visible	46	655	12:03:10
2	23	right	1	visible	47	870	12:03:21
2	24	right	4	visible	48	697	12:03:32
3	1	left	1	visible	49	909	12:11:59
3	2	left	4	visible	50	900	12:12:11
3	3	left	4	visible	51	710	12:12:24
3	4	left	2	visible	52	793	12:12:34
3	5	left	4	visible	53	765	12:12:45
3	6	left	2	visible	54	642	12:12:55
3	7	left	2	visible	55	770	12:13:05
3	8	left	4	visible	56	667	12:13:15
3	9	left	4	visible	57	793	12:13:24
3	10	left	1	visible	58	998	12:13:34
3	11	left	1	visible	59	891	12:13:44
3	12	left	2	visible	60	647	12:13:53
3	13	left	2	visible	61	775	12:14:03
3	14	left	1	visible	62	651	12:14:13
3	15	left	4	visible	63	714	12:14:23
3	16	left	4	visible	64	803	12:14:33
3	17	left	1	visible	65	942	12:14:44
3	18	left	2	visible	66	679	12:14:54
3	19	left	1	visible	67	696	12:15:03
3	20	left	1	visible	68	656	12:15:12
3	21	left	2	visible	69	710	12:15:20
3	22	left	1	visible	70	789	12:15:31
3	23	left	4	visible	71	908	12:15:40
3	24	left	2	visible	72	1049	12:15:52
4	1	left	2	hidden	73	1253	12:16:43
4	2	left	4	hidden	74	989	12:16:56
4	3	left	1	hidden	75	1012	12:17:08
4	4	left	4	hidden	76	877	12:17:20
4	5	left	1	hidden	77	1048	12:17:35
4	6	left	1	hidden	78	830	12:17:54
4	7	left	4	hidden	79	865	12:18:06
4	8	left	2	hidden	80	714	12:18:18
4	9	left	1	hidden	81	997	12:18:30
4	10	left	1	hidden	82	658	12:18:41
4	11	left	4	hidden	83	679	12:18:53
4	12	left	4	hidden	84	761	12:19:05
4	13	left	2	hidden	85	669	12:19:16
4	14	left	4	hidden	86	577	12:19:27
4	15	left	1	hidden	87	671	12:19:39
4	16	left	2	hidden	88	790	12:19:50
4	17	left	2	hidden	89	736	12:20:03
4	18	left	1	hidden	90	550	12:20:14
4	19	left	4	hidden	91	623	12:20:25
4	20	left	4	hidden	92	554	12:20:36
4	21	left	2	hidden	93	660	12:20:47
4	22	left	2	hidden	94	651	12:20:58
4	23	left	2	hidden	95	549	12:21:10
4	24	left	1	hidden	96	748	12:21:22
