Subject ID: 03_32
Date and time: 10/28/2014 11:08:39

Block	Trial	Hand	Cube	Vis	Conf	Pulse	RT	Time
1	1	left	1	hidden	n	1	1975	11:11:30
1	2	left	1	hidden	+	2	1444	11:11:52
1	3	left	2	hidden	+	3	1115	11:12:16
1	4	left	2	hidden	+	4	981	11:12:33
1	5	left	2	hidden	+	5	769	11:12:49
1	6	left	4	hidden	+	6	902	11:13:05
1	7	left	2	hidden	+	7	816	11:13:19
1	8	left	2	hidden	+	8	947	11:13:34
1	9	left	4	hidden	+	9	965	11:13:49
1	10	left	4	hidden	+	10	775	11:14:04
1	11	left	1	hidden	+	11	994	11:14:18
1	12	left	4	hidden	+	12	930	11:14:33
1	13	left	2	hidden	+	13	1296	11:14:47
1	14	left	2	hidden	+	14	699	11:14:59
1	15	left	1	hidden	+	15	612	11:15:13
1	16	left	4	hidden	+	16	938	11:15:27
1	17	left	1	hidden	+	17	969	11:15:41
1	18	left	4	hidden	+	18	747	11:15:54
1	19	left	1	hidden	+	19	660	11:16:07
1	20	left	1	hidden	+	20	449	11:16:20
1	21	left	4	hidden	+	21	464	11:16:34
1	22	left	1	hidden	+	22	694	11:16:48
1	23	left	2	hidden	+	23	756	11:17:01
1	24	Final check: +
1	24	left	4	hidden	n	24	869	11:17:21
2	1	left	2	visible	n	25	1709	11:18:26
2	2	left	1	visible	+	26	579	11:18:37
2	3	left	4	visible	+	27	457	11:18:47
2	4	left	2	visible	+	28	795	11:19:14
2	5	left	1	visible	+	29	634	11:19:24
2	6	left	1	visible	+	30	714	11:19:35
2	7	left	2	visible	+	31	784	11:19:45
2	8	left	2	visible	+	32	452	11:19:54
2	9	left	2	visible	+	33	528	11:20:03
2	10	left	1	visible	+	34	484	11:20:13
2	11	left	1	visible	+	35	483	11:20:22
2	12	left	1	visible	+	36	637	11:20:32
2	13	left	2	visible	+	37	603	11:20:42
2	14	left	4	visible	+	38	431	11:20:52
2	15	left	2	visible	+	39	686	11:21:01
2	16	left	4	visible	+	40	513	11:21:11
2	17	left	1	visible	+	41	626	11:21:20
2	18	left	4	visible	+	42	507	11:21:29
2	19	left	2	visible	+	43	605	11:21:38
2	20	left	1	visible	+	44	458	11:21:47
2	21	left	4	visible	+	45	511	11:21:57
2	22	left	4	visible	+	46	419	11:22:06
2	23	left	4	visible	+	47	529	11:22:17
2	24	Final check: +
2	24	left	4	visible	n	48	501	11:22:28
3	1	right	2	hidden	n	49	939	11:32:44
3	2	right	1	hidden	+	50	780	11:33:00
3	3	right	1	hidden	+	51	615	11:33:17
3	4	right	4	hidden	+	52	973	11:33:42
3	5	right	2	hidden	+	53	655	11:33:57
3	6	right	2	hidden	+	54	666	11:34:12
3	7	right	1	hidden	+	55	561	11:34:26
3	8	right	4	hidden	+	56	692	11:34:42
3	9	right	2	hidden	+	57	534	11:34:57
3	10	right	1	hidden	+	58	763	11:35:10
3	11	right	1	hidden	+	59	566	11:35:24
3	12	right	2	hidden	+	60	521	11:35:37
3	13	right	4	hidden	+	61	457	11:35:51
3	14	right	1	hidden	+	62	725	11:36:07
3	15	right	1	hidden	+	63	825	11:36:22
3	16	right	4	hidden	+	64	847	11:36:36
3	17	right	1	hidden	+	65	848	11:36:50
3	18	right	2	hidden	+	66	534	11:37:03
3	19	right	4	hidden	+	67	653	11:37:17
3	20	right	4	hidden	+	68	486	11:37:32
3	21	right	4	hidden	+	69	746	11:37:47
3	22	right	2	hidden	+	70	581	11:38:01
3	23	right	2	hidden	+	71	734	11:38:13
3	24	Final check: +
3	24	right	4	hidden	n	72	588	11:38:26
4	1	right	1	visible	n	73	797	11:39:31
4	2	right	2	visible	+	74	768	11:39:41
4	3	right	1	visible	+	75	627	11:39:52
4	4	right	4	visible	+	76	403	11:40:04
4	5	right	2	visible	+	77	486	11:40:13
4	6	right	4	visible	+	78	474	11:40:23
4	7	right	4	visible	+	79	607	11:40:34
4	8	right	1	visible	+	80	542	11:40:44
4	9	right	1	visible	+	81	472	11:40:54
4	10	right	4	visible	+	82	510	11:41:06
4	11	right	4	visible	+	83	495	11:41:15
4	12	right	4	visible	+	84	586	11:41:26
4	13	right	4	visible	+	85	601	11:41:37
4	14	right	2	visible	+	86	560	11:41:46
4	15	right	1	visible	+	87	681	11:41:55
4	16	right	2	visible	+	88	673	11:42:05
4	17	right	1	visible	+	89	546	11:42:14
4	18	right	2	visible	+	90	636	11:42:23
4	19	right	1	visible	+	91	530	11:42:33
4	20	right	1	visible	+	92	571	11:42:42
4	21	right	2	visible	+	93	689	11:42:51
4	22	right	4	visible	+	94	689	11:43:01
4	23	right	2	visible	+	95	520	11:43:10
4	24	Final check: +
4	24	right	2	visible	n	96	568	11:43:19
